
=== meat_dish (103) ===
  meat_dish-虎皮肘子 | 虎皮肘子 | ★★★★★ | 猪肘,葱,蒜,姜,料酒,香叶,肉桂皮,豆蔻,花椒,大料,老抽,生抽,白醋,冰糖,淀粉
  meat_dish-蚂蚁上树 | 蚂蚁上树 | ★★★ | 红薯粉丝,蒜,姜,猪肉末,郫县豆瓣酱,生抽,老抽,小葱
  meat_dish-血浆鸭 | 血浆鸭 | ★★★★★ | 鸭肉,鸭血,辣椒,姜,蒜,香葱
  meat_dish-西红柿土豆炖牛肉 | 西红柿土豆炖牛肉 | ★★★★ | 土豆,西红柿,牛肉,洋葱
  meat_dish-西红柿牛腩 | 西红柿牛腩 | ★★★★★ | 牛腩,葱,姜,八角,西红柿
  meat_dish-豆豉鲮鱼油麦菜 | 豆豉鲮鱼油麦菜 | ★★ | 油麦菜,鲮鱼罐头,大蒜,豆豉
  meat_dish-豉汁排骨 | 豉汁排骨 | ★★★★ | 排骨,豆豉,葱花,白芝麻
  meat_dish-豉汁蒸白鱔 | 豉汁蒸白鱔 | ★★★ | 白鱔,豆豉,蒜,生抽,老抽,麻油,姜,葱,红椒
  meat_dish-贵州辣子鸡 | 贵州辣子鸡 | ★★★★ | 土豆,鸡块,生姜片,花椒,糍粑辣椒,豆瓣酱,啤酒,香叶,大蒜,酒糟,蒜苗
  meat_dish-辣椒炒肉 | 辣椒炒肉 | ★★★ | 青椒,大蒜,生姜,猪瘦肉,豆豉
  meat_dish-酱排骨 | 酱排骨 | ★★★★ | 排骨,姜,料酒,生抽,蚝油,五香粉,蒜,小米椒,老抽
  meat_dish-酱牛肉 | 酱牛肉 | ★★★★★ | 牛腱子肉,料酒,花椒,姜片
  meat_dish-醉排骨 | 醉排骨 | ★★★★ | 排骨,地瓜粉,鱼露,鸡蛋黄,蒜末,香醋,白砂糖,番茄酱,葱花,芝麻
  meat_dish-青椒土豆炒肉 | 青椒土豆炒肉 | ★★★ | 青椒,土豆,猪肉,葱,姜,蒜,土豆淀粉
  meat_dish-香干肉丝 | 香干肉丝 | ★★★ | 肉丝,青椒,大蒜,香干,淀粉
  meat_dish-香干芹菜炒肉 | 香干芹菜炒肉 | ★★★ | 芹菜,香干,蒜头,辣椒,花椒,猪肉,老抽,豆瓣酱,鸡精,蚝油
  meat_dish-香煎五花肉 | 香煎五花肉 | ★★★ | 五花肉,生菜叶,豆瓣酱
  meat_dish-香菇滑鸡 | 香菇滑鸡 | ★★★ | 鸡腿,干香菇,葱,姜,蒜
  meat_dish-香辣鸡爪煲 | 香辣鸡爪煲 | ★★★★ | 鸡爪,葱,姜,料酒,香叶,八角,生抽,老抽,蒜,小米椒,辣椒面,蚝油,五香粉,鸡精
  meat_dish-鱼香肉丝 | 鱼香肉丝 | ★★★★ | 里脊肉,木耳,青椒,胡萝卜,姜,蒜,葱,豆瓣酱,生抽,料酒,淀粉,蛋清,醋
  meat_dish-鱼香茄子 | 鱼香茄子 | ★★★ | 茄子,肉,葱,姜,蒜,小米椒,生抽,老抽,醋,水淀粉,豆瓣酱
  meat_dish-麻婆豆腐 | 麻婆豆腐 | ★★★ | 大蒜,生姜,小米辣,五花肉,鸭蛋,豆腐,花椒,蒜蓉辣酱
  meat_dish-麻辣香锅 | 麻辣香锅 | ★★★ | 青菜,无骨肉,北京麻辣方便面,麻辣香锅调料,干辣椒
  meat_dish-黄油鸡 | 黄油鸡 | ★★★★ | 鸡肉,酸奶,生姜,大蒜,红辣椒粉,姜黄粉,柠檬汁,番茄,洋葱,腰果,黄油,淡奶油,印度综合香料粉,小豆蔻粉,干葫芦巴叶
  meat_dish-黄焖鸡 | 黄焖鸡 | ★★★ | 鸡腿,香菇,青椒,土豆,生姜,干辣椒,料酒,酱油
  meat_dish-黄瓜炒肉 | 黄瓜炒肉 | ★★★ | 猪瘦肉,黄瓜,蒜,小米辣
  meat_dish-黑椒牛柳 | 黑椒牛柳 | ★★★★ | 牛肉,洋葱,菜椒
  meat_dish-黔式腊肠娃娃菜 | 黔式腊肠娃娃菜 | ★ | 腊肠,娃娃菜

=== vegetable_dish (60) ===
  vegetable_dish-上汤娃娃菜 | 上汤娃娃菜 | ★★★ | 娃娃菜,葱,蒜,姜,皮蛋,火腿肠,午餐肉,金针菇
  vegetable_dish-凉拌木耳 | 凉拌木耳 | ★★ | 木耳,蒜瓣,小米辣,生抽,醋,香油,芥末
  vegetable_dish-凉拌油麦菜 | 凉拌油麦菜 | ★ | 蒜,醋,酱油,芝麻酱,香油,糖,蚝油,油麦菜
  vegetable_dish-凉拌莴笋 | 凉拌莴笋 | ★★ | 莴笋,萝卜,姜,蒜,小米椒
  vegetable_dish-凉拌豆腐 | 凉拌豆腐 | ★★ | 豆腐,小葱,大蒜,生抽,香油,醋,白糖,辣椒油
  vegetable_dish-凉拌金针菇 | 凉拌金针菇 | ★★ | 金针菇,小葱,大蒜
  vegetable_dish-凉拌黄瓜 | 凉拌黄瓜 | ★ | 黄瓜,蒜,醋,酱油,蚝油,香油
  vegetable_dish-包菜炒鸡蛋粉丝 | 包菜炒鸡蛋粉丝 | ★★★ | 胡萝卜,包菜,粉丝,鸡蛋,葱,蒜,干辣椒
  vegetable_dish-印度土豆花菜 | 印度土豆花菜 | ★★★ | 土豆,花菜,洋葱,生姜,大蒜,青辣椒,番茄,孜然籽,姜黄粉,红辣椒粉,香菜粉,印度综合香料粉,香菜叶
  vegetable_dish-印度葫芦丸子 | 印度葫芦丸子 | ★★★★ | 瓠瓜,鹰嘴豆粉,红辣椒粉,香菜粉,洋葱,生姜,大蒜,番茄,姜黄粉,孜然粉,印度综合香料粉,青辣椒,香菜叶
  vegetable_dish-地三鲜 | 地三鲜 | ★★★ | 土豆,茄子,尖椒,葱,蒜,姜,生抽,淀粉,豆瓣酱
  vegetable_dish-家常日本豆腐 | 家常日本豆腐 | ★★★ | 日本豆腐,胡萝卜,尖椒,葱,蒜,生粉,青椒,火腿肠,黑木耳
  vegetable_dish-小炒藕丁 | 小炒藕丁 | ★★★ | 大葱,小米辣,莲藕
  vegetable_dish-干锅花菜 | 干锅花菜 | ★★★ | 花菜,五花肉,大蒜,小红辣椒,大葱
  vegetable_dish-微波炉鸡蛋羹 | 微波炉鸡蛋羹 | ★★ | 鸡蛋,虾皮,葱,芝麻油,酱油
  vegetable_dish-手撕包菜 | 手撕包菜 | ★★★ | 包菜,五花肉,姜,蒜,小米辣,蒜苗,香醋,料酒,鸡精
  vegetable_dish-拔丝土豆 | 拔丝土豆 | ★★★ | 土豆,淀粉,白砂糖,芝麻
  vegetable_dish-松仁玉米 | 松仁玉米 | ★★ | 玉米粒,胡萝卜丁,淀粉,松仁
  vegetable_dish-椒盐玉米 | 椒盐玉米 | ★★★ | 玉米,淀粉,椒盐,芝麻
  vegetable_dish-榄菜肉末四季豆 | 榄菜肉末四季豆 | ★★★ | 四季豆,大蒜,小米辣,五花肉,橄榄菜
  vegetable_dish-水油焖蔬菜 | 水油焖蔬菜 | ★★ | 蔬菜,蚝油
  vegetable_dish-油醋爆蛋 | 油醋爆蛋 | ★★ | 鸡蛋,香葱,蒜瓣,小米辣,香醋,生抽,蚝油
  vegetable_dish-洋葱炒鸡蛋 | 洋葱炒鸡蛋 | ★★ | 鸡蛋,洋葱,料酒,葱花
  vegetable_dish-清炒花菜 | 清炒花菜 | ★★ | 花菜,大蒜
  vegetable_dish-清蒸南瓜 | 清蒸南瓜 | ★ | 南瓜
  vegetable_dish-炒滑蛋 | 炒滑蛋 | ★ | 鸡蛋,牛奶,食用油
  vegetable_dish-炒茄子 | 炒茄子 | ★★★ | 茄子,香葱,八角,肉末,虾皮,酱油
  vegetable_dish-炒青菜 | 炒青菜 | ★★ | 青菜,蒜瓣
  vegetable_dish-烤茄子 | 烤茄子 | ★★★ | 茄子,酱油,孜然,蒜蓉,小米椒
  vegetable_dish-白灼菜心 | 白灼菜心 | ★★ | 菜心,大蒜,洋葱,生抽,蚝油,姜,小米椒
  vegetable_dish-皮蛋豆腐 | 皮蛋豆腐 | ★ | 皮蛋,嫩豆腐,生抽,白砂糖,醋,香油,辣椒油,花生碎,葱花,香菜
  vegetable_dish-糖拌西红柿 | 糖拌西红柿 | ★★ | 西红柿,白糖
  vegetable_dish-素炒豆角 | 素炒豆角 | ★★ | 葱,蒜,生抽,老抽,耗油,小米椒,豆角
